unit,V1,V2,group
1,2.55E-02,-1.70E-01,N
2,-3.20E-02,-5.20E-01,N
3,-3.70E-02,-4.60E-01,N
4,-4.50E-02,-1.70E-01,N
5,1.15E-01,-9.10E-03,N
6,1.27E-01,2.77E-02,N
7,-1.30E-03,4.02E-02,N
8,2.96E-02,-4.70E-01,N
9,1.17E-01,-2.00E-01,N
10,7.50E-02,-9.70E-02,N
11,-1.00E-01,-8.50E-02,N
12,1.48E-01,-9.40E-02,N
13,8.48E-02,-2.90E-01,N
14,9.97E-02,-4.50E-01,N
15,-5.10E-02,-1.30E-01,N
16,-2.00E-02,-4.00E-01,N
17,-3.10E-02,-9.80E-02,N
18,6.15E-03,-5.50E-01,N
19,1.22E-01,-8.30E-01,N
20,7.64E-02,-2.80E-01,N
21,2.04E-03,-3.50E-01,N
22,1.40E-01,-6.20E-02,N
23,1.82E-02,-7.70E-02,N
24,-2.00E-02,-2.70E-01,N
25,-4.60E-03,-2.10E-01,N
26,7.62E-03,-7.20E-03,N
27,1.47E-01,-3.80E-01,N
28,1.65E-02,-3.20E-01,N
29,1.22E-01,-2.00E-01,N
30,1.39E-01,-2.60E-01,N
31,8.66E-02,-2.90E-01,N
32,-1.40E-01,-3.10E-01,N
33,-2.30E-02,-3.90E-01,N
34,1.13E-01,-4.30E-02,N
35,1.88E-01,-8.30E-02,N
36,2.37E-02,-1.30E-02,N
37,-9.70E-02,-3.30E-01,N
38,2.10E-01,-3.50E-01,N
39,-1.60E-01,-2.10E-01,N
40,-6.80E-03,-3.80E-01,N
41,4.97E-02,-2.30E-01,N
42,-5.70E-02,-8.40E-01,N
43,4.81E-03,-7.20E-01,N
44,-8.30E-02,-2.30E-01,N
45,2.49E-01,7.11E-04,N
46,7.81E-02,-2.40E-01,N
47,-1.10E-01,-4.80E-01,N
48,9.03E-02,-4.80E-01,N
49,3.91E-02,-1.80E-01,N
50,7.24E-02,-2.10E-01,N
51,-1.10E-01,-1.50E-01,N
52,1.06E-01,-4.00E-01,N
53,-9.10E-02,-4.70E-01,N
54,3.88E-02,-3.70E-01,N
55,-5.00E-02,-1.90E-01,N
56,7.87E-02,-5.20E-01,N
